,song_title,lyrics
10,fever,before you came around i was doin just fine usually usually usually i dont pay no mind and when it came down i was lookin in your eyes suddenly suddenly suddenly i can feel it inside ive got a fever so can you check hand on my forehead kiss my neck and when you touch me baby i turn red ive got a fever so can you check peut être quavec du temps ça partira et pourtant et pourtant et pourtant je ne my vois pas comme un médicament moi je suis rien sans toi et je sais quе jessaie que jе perds du temps dans tes bras ive got a fever so can you check hand on my forehead kiss my neck and when you touch me baby i turn red ive got a fever so can you check car dans mes yeux ça se voit la fièvre dans les yeux oui ça se voit mon cœur se serre jai du feu dans la voix le plus souvent cest quand je pense à toi ive got a fever hand on my forehead and when you touch me baby i turn red ive got a fever so can you check tell me what you wanna do right now tell me what you wanna do right now tell me what you wanna do right now cause i dont really wanna cool it down tell me what you wanna do right now tell me what you wanna do right now tell me what you wanna do right now cause i dont really wanna cool it down car dans mes yeux ça se voit la fièvre dans les yeux oui ça se voit mon cœur se serre jai du feu dans la voix le plus souvent cest quand je pense à toi
11,boys will be boys,its second nature to walk home before the sun goes down and put your keys between your knuckles when theres boys around isnt it funny how welaughit off tohide our fear when theres nothing funnyhere sick intuition that they taught us so we wont freak out we hide our figures doing anything to shut their mouths we smile away to ease the tension so it dont go south but theres nothing funny now when will we stop saying things cause theyre all listening no the kids aint alright oh and they do what they see cause its all on tv oh the kids aint alright boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women im sure if theres something that i cant find the words to say i know that there will be a man around to save the day and that was sarcasm in case you needed it mansplained i shouldve stuck to ballet when will we stop saying things cause theyre all listening no the kids aint alright oh and they do what they see cause its all on tv oh the kids aint alright boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women if youre offended by this song youre clearly doing something wrong if youre offended by this song then youre probably saying boys will be boys will be boys will be boys will be boys but girls will be women when will we stop saying things cause theyre all listening no the kids aint alright oh and they do what they see cause its all on tv oh the kids aint alright boys will be boys will be boys will be boys will be boys but girls will be women boys will be boys will be boys will be boys will be boys but girls will be women
12,love again,i never thought that i would find a way out i never thought id hear my heart beat so loud i cant believe theres something left inmychest anymore but goddamn you got me in love again iused to think that i was made out of stone i used to spend so many nights on my own i never knew i had it in me to dance anymore but goddamn you got me in love again show me that heavens right here baby touch me so i know im not crazy never have i ever met somebody like you used to be afraid of love and what it might do but goddamn you got me in love again you got me in love again you got me in love again you got me in love again again so many nights my tears fell harder than rain scared i would take my broken heart to the grave id rather die than have to live in a storm like before but goddamn you got me in love again show me that heavens right here baby touch me so i know im not crazy never have i ever met somebody like you used to be afraid of love and what it might do but goddamn you got me in love again you got me in love again you got me in love again you got me in love again again i cant believe i cant believe i finally found someone ill sink my teeth in disbelief cause youre the one that i want i cant believe i cant believe im not afraid anymore goddamn you got me in love again la la la la la la la la la la la la i never thought that i would find a way out i never thought id hear my heart beat so loud i cant believe theres something left in my chest anymore oh goddamn you got me in love again i cant believe i cant believe i finally found someone ill sink my teeth in disbelief cause youre the one that i want i cant believe theres something left inside my chest anymore but goddamn you got me in love again you got me in love again you got me in love again you got me in love again again
13,hallucinate,pocketful of honey and im ready to go no i aint got no money but im letting you know that ima love you like a fool breathe youintill i hallucinate body make you silly make youdo what i want oh baby i can make it pretty i could string you along but ima love you like a fool breathe you in till i hallucinate no i couldnt live without your touch no i could never have too much ill breathe you in forever and ever hallucinate i hallucinate when you call my name got stars in my eyes and they dont fade when you come my way im losing my mi mi mi mind mi mi mi mind mi mi mi mind mi mi mi mind i hallucinate when you call my name got stars in my put you in my hall of fame middle of the wall yeah youre my one my favourite my ride or die oh yeah ima love you like a fool breathe you in till i hallucinate no i couldnt live without your touch no i could never have too much ill breathe you in forever and ever hallucinate i hallucinate when you call my name got stars in my eyes and they dont fade when you come my way im losing my mi mi mi mind mi mi mi mind mi mi mi mind mi mi mi mind i hallucinate when you call my name got stars in my wanna be right where you are lets go dancing in the dark dont wait you can push to start lose control kill me slowly with your kiss wrap me round your fingertips damn i need another hit i hallucinate when you call my name got stars in my eyes and they dont fade when you come my way im losing my mi mi mi mind mi mi mi mind mi mi mi mind mi mi mi mind i hallucinate when you call my name got stars in my
14,levitating,if you wanna run away with me i know a galaxy and i can take you for a ride i had a premonition that we fell intoarhythm where the musicdont stop for life glitter in thesky glitter in my eyes shining just the way i like if youre feeling like you need a little bit of company you met me at the perfect time you want me i want you baby my sugarboo im levitating the milky way were renegading yeah yeah yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me im levitating you moonlight youre my starlight i need you all night come on dance with me im levitating i believe that youre for me i feel it in our energy i see us written in the stars we can go wherever so lets do it now or never baby nothings ever ever too far glitter in the sky glitter in our eyes shining just the way we are i feel like were forever every time we get together but whatever lets get lost on mars you want me i want you baby my sugarboo im levitating the milky way were renegading yeah yeah yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me im levitating you moonlight youre my starlight i need you all night come on dance with me im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah my love is like a rocket watch it blast off and im feeling so electric dance my ass off and even if i wanted to i cant stop yeah yeah yeah yeah yeah my love is like a rocket watch it blast off and im feeling so electric dance my ass off and even if i wanted to i cant stop yeah yeah yeah yeah yeah you want me i want you baby my sugarboo im levitating the milky way were renegading i got you moonlight youre my starlight i need you all night come on dance with me im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah im levitating you can fly away with me tonight you can fly away with me tonight baby let me take you for a ride yeah yeah yeah yeah yeah i got you moonlight youre my starlight i need you all night come on dance with me im levitating you moonlight youre my starlight i need you all night come on dance with me im levitating
15,pretty please,somewhere in the middle i think i lied a little i i said if we took it there i wasnt gonna change but that went out the window yeah i know that i seem alittle stressed out but youre here now and youre turning me on i wanna feel a different kinda tension yeah you guessed it the kind thats fun hate it when you leave me unattended cause i miss ya and i need your love when my mind is runnin wild could you help me slow it down put my mind at ease pretty please i need your hands on me sweet relief pretty please exactly where i want me yeah underneath your body yeah if we take it further i swear i aint gonna break so baby come try me baby come find me baby dont wind me up i know that i seem a little stressed out but youre here now and youre turning me on i wanna feel a different kinda tension yeah you guessed it the kind thats fun hate it when you leave me unattended cause i miss ya and i need your love when my mind is runnin wild could you help me slow it down put my mind at ease pretty please i need your hands on me sweet relief pretty put my mind at ease trickle down my spine oh you look so pretty please every single night i need your hands on me when your kisses climb oh you give me sweet relief made me feel so pretty would you help me out please pretty pretty pretty pretty hate it when you leave me unattended cause i miss ya and i need your love when my mind is runnin wild could you help me slow it down put my mind at ease trickle down my spine oh you look so pretty please every single night i need your hands on me when your kisses climb oh you give me sweet relief made me feel so pretty would you help me out please pretty please
16,new rules remix,one one one one one talkin in my sleep at night makin myself crazy wrote it down and read it out hopin it would save me cmon my love he makes me feel like nobody else nobody else but my love he doesnt love me so i tell myself i tell myself one dont pick up the phone you know hes only callin cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint gettin over him i got new rules i count em i got new rules i count em i gotta tell them to myself i got new rules i count em i gotta tell them to myself i keep pushin forwards but he keeps pullin me backwards now im standin back from it i finally see the pattern but my love he doesnt love me so i tell myself i tell myself i do i do i do one dont pick up the phone you know hes only callin cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint gettin over him i got new rules i count em i got new rules i count em i gotta tell them to myself i got new rules i count em i gotta tell them to myself practice makes perfect im still tryna learn it by heart eat sleep and breathe it rehearse and repeat it cause i one dont pick up the phone you know hes only callin cause hes drunk and alone two dont let him in youll have to kick him out again three dont be his friend you know youre gonna wake up in his bed in the morning and if youre under him you aint gettin over him i got new rules i count em i got new rules i count em i gotta tell them to myself i got new rules i count em i gotta tell them to myself dont let him in dont let him in dont dont dont dont dont be his friend dont be his friend dont dont dont dont dont let him in dont let him in dont dont dont dont dont be his friend dont be his friend dont dont dont dont youre gettin over him
17,that kind of woman remix,stand back stand back stand back stand back stand back stand back stand back stand back stand back stand back stand back stand back stand back stand back stand back stand back one look was enough enough for me the whole room stops and its not me to be one to be one ill pick you from the crowd dont come to me i want you to myself no i wont be wont be one wont be one ill be the first to say baby whats your name cause i want ya that kind of woman hard to pretend now i cant sit still let me show ya that kind of woman woman that kind of woman woman that kind of woman woman that kind of woman woman that kind of woman that kind of woman cause its a hundred others speaking ive been tryna make a stand a hundred others speaking i cant make you understand theres only one out hеre for ya that kind of woman hard to pretend now i cant sit still any longеr that kind of woman woman that kind of woman woman that kind of woman hard to pretend now i cant sit still any longer that kind of woman that kind of woman
18,break my heart remix,for sure i like falling for sure i like falling for sure i like falling for sure i like falling ive always been the one to say the first goodbye had to love and lose a hundred million times i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i hope im not the only one that feels it all are you falling for sure i like falling centre of attention i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no ive always been the one to say the first goodbye had to love and lose a hundred million times had to get it wrong to know just what i like now im falling you say my name like i have never heard before im indecisive but this time i know for sure i hope im not the only one that feels it all are you falling i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve i wouldve yeah i wouldve stayed at home cause i i wouldve oh no baby oh no for sure i like falling ive always been the one to say the first goodbye had to love and lose a hundred million times had to get it wrong to know just what i like i wouldve yeah i wouldve stayed at home cause i you say my name like i have never heard before im indecisive but this time i know for sure i hope im not the only one that feels before for sure before for sure before for sure before before for sure before before for sure before before for sure before i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i wouldve yeah i wouldve stayed at home cause i i wouldve yeah i wouldve oh no i wonder when you go if i stay on your mind two can play that game but you win me every time everyone before you was a waste of time yeah you got me i wouldve stayed at home cause i until next time this is dua lipa thanks for tuning in youve been listening in to mwah club welcome to the club
19,kiss and make up remix,future nostalgia kiss and make kiss kiss and make up we havent talked all morning bang my head bang my head against the wall im scared im falling losing all losing all my control and im tired of talking feel myself saying the same old things but this loves important dont wanna lose dont wanna lose you this way feel like we about to break up just wanna kiss and make up one last time touch me like you touch nobody put your hands all up on me tired of hearing sorry kiss and make kiss kiss and make up how about we leave this party cause all i want is you up on me tired of hearing sorry kiss and make kiss kiss and make up 아직 너를 못 떠나고 뭘 하고 있는 건지 언젠가는 다 끝날 걸 떠날 걸 알지만 feel like we about to break up just wanna kiss and make up one last time touch me like you touch nobody put your hands all up on me tired of hearing sorry
20,hallucinate remix remix,call my name call my name call my name call my name call my name call my name i hallucinate when you call my name got stars in my eyes and they dont fade when you come my way i m losing my mi mi mi mind mi mi mi mind mi mi mi mind mi mi mi mind i hallucinate when you call my name
21,physical remix,caring about me now walk away you know how common love isnt for us we created something phenomenal dont you agree dont you agree you got me feeling diamond rich nothing onthisplanet compares toit dont you agree dont you agree who needssleep sleep sleep all night ill riot with you i know you got my back and you know i got you so come on come on come on lets get physical lights out follow the noise baby keep on dancing like you aint got a choice so come on come on come on lets get physical adrenaline keeps on rushing in love the simulation were dreaming in dont you agree dont you agree i dont wanna live another life cause this ones pretty nice living it up who needs sleep all night ill riot with you i know you got my back and you know i got you so come on come on come on lets get physical lights out follow the noise baby keep on dancing like you aint got a choice so come on come on come on lets get physical hold on just a little tighter come on hold on tell me if youre ready come on baby keep on dancing lets get physical all night ill riot with you i know you got my back and you know i got you so come on come on come on lets get physical lights out follow the noise baby keep on dancing like you aint got a choice so come on come on come on lets get physical lets get physical physical lets get physical physical lets get physical physical lets get physical physical
