,song_title,lyrics
10,happier,walking down 29th and park i saw you in anothers arm only a month weve been apart you look happier saw you walk inside a bar he said something to make you laugh i saw that both your smiles were twice as wide as ours yeah you look happier you do aint nobody hurt you like i hurt you but aint nobody love you like i do promise that i will not take it personal baby if youre moving on with someone new cause baby you look happier you do my friends told me one day ill feel it too and until then ill smile to hide the truth but i know i was happier with you sat in the corner of the room everythings reminding me of you nursing an empty bottle and telling myself youre happier arent you oh aint nobody hurt you like i hurt you but aint nobody need you like i do i know that theres others that deserve you but my darling i am still in love with you but i guess you look happier you do my friends told me one day i ll feel it too i could try to smile to hide the truth but i know i was happier with you cause baby you look happier you do i knew one day you d fall for someone new but if he breaks your heart like lovers do just know that i ll be waiting here for you
11,hearts dont break around here,she is the sweetest thing that i know should see the way she holds me when the lights go low shakes my soul like a pothole every time took my heart upon a one way trip guess she went wandering off with it and unlike most women i know this one will bring it back whole daisies daisies perched upon your forehead oh my baby lately i know that every night ill kiss you youll say in my ear oh were in love arent we hands in your hair fingers and thumbs baby i feel safe when youre holding me near love the way that you conquer your fear you know hearts dont break around here oh yeah yeah yeah yeah yeah yeah yeah she is the river flow in orwell and tin wind chimes used for doorbells fields and trees and her smell fill my lungs spend my summertime beside her and the rest of the year the same she is the flint that sparks the lighter and the fuel that will hold the flame oh roses roses laid upon your bed spread oh my all this all this i know but every night ill kiss you youll say in my ear oh were in love arent we hands in your hair fingers and thumbs baby i feel safe when youre holding me near love the way that you conquer your fear you know hearts dont break around here oh yeah yeah yeah well i found love hidden inside the arms of the woman i know she is the lighthouse in the night that will safely guide me home and im not scared of passing over or the thought of growing old cause from now until i go every night i kiss you youll say in my ear oh were in love arent we hands in your hair fingers and thumbs baby i feel safe when youre holding me near love the way that you conquer your fear you know hearts dont break around here oh yeah yeah every night i kiss you youll say in my ear oh were in love arent we hands in your hair fingers and thumbs baby i feel safe when youre holding me near love the way that you conquer your fear you know hearts dont break around here yeah yeah yeah you know hearts dont break around here oh yeah yeah yeah
12,photograph remix,loving can hurt loving can hurt sometimes but its the only thing that i know when it gets hard you know it can get hard sometimes its the only thing that makes us feel alive we keep this love in a photograph we made these memories for ourselves where our eyes are never closing our hearts were never broken and times forever frozen still so you can keep me inside the pocket of your ripped jeans holding me close until our eyes meet you wont ever be alone and if you hurt me thats okay baby only words bleed inside these pages you just hold me and i won t ever let you go wait for me to come home loving can heal loving can mend your soul and its the only thing that i know i swear it will get easier remember that with every piece of ya and its the only thing to take with us when we die oh you can fit me inside the necklace you got when you were sixteen next to your heartbeat where i should be keep it deep within your soul wait for me to come home wait for me to come home wait for me to come home when im away i will remember how you kissed me under the lamppost back on sixth street hearing you whisper through the phone wait for me to come home
13,afterglow,stop the clocks its amazing you should see the way the light dances off your hair a million colours of hazel golden and red saturday morning is fading the suns reflected by the coffee in your hand my eyes are caught in your gaze all over again we were love drunk waiting on a miracle tryna find ourselves in the winter snow so alone in love like the world had disappeared oh i wont be silent and i wont let go i will hold on tighter til the afterglow and well burn so bright til the darkness softly clears oh i will hold on to the afterglow oh i will hold on to the afterglow the weather outsides changing the leaves are buried under six inches of white the radio is playing iron wine this is a new dimension this is a level where were losing track of time im holding nothing against it except you and i we were love drunk waiting on a miracle tryna find ourselves in the winter snow so alone in love like the world had disappeared oh i wont be silent and i wont let go i will hold on tighter til the afterglow and well burn so bright til the darkness softly clears oh i will hold on to the afterglow oh i will hold on to the afterglow oh i will hold on to the afterglow
14,blow,im feelin like a bullet jumpin out a gun im feelin like a winner i feel like the one youre doing somethin to me youre doing somethin strange well jump back talk to me woman you make me wanna make a baby baby uh supernatural woman supernatural freak dont know what youre doin got me feelin weak oh i wanna call you fever baby you can set a fire on me hot damn pop it like a pistol mama you got me down on my knees begging please im comin baby im gunnin for you yeah locked loaded shoot my shot tonight im comin baby im gunnin for you pull my trigger let me blow your mind you red leather rocket you little foxy queen everybodys watching pretty little thing baby tell me whats your fantasy come closer lets talk about it you want white lines in a limousine whipped cream and everything in between yeah im comin baby im gunnin for you yeah locked loaded shoot my shot tonight im comin baby im gunnin for you pull my trigger let me blow your mind im comin baby im comin baby im gunnin for you yeah locked loaded shoot my shot tonight im comin baby im gunnin for you pull my trigger let me blow your mind
15,way to break my heart,star sign gemini brown eyes fair hair in the light we called time last night and i cant stop thinkin bout her and her lips upon mine so soft feelings i dont know the name of under the clothes we take off used to be two hearts in love oh why oh why am i alone did i did i do something wrong am i the reason or have you found someone else so tell me girl how can i live without love how can i be what you want cause when the morning comes around youre still gone and ill say how can i see through the dark all i can do is wonder where you are are you happy in someone elses arms well thats the way to break my heart thats the way to break my heart thats the way to break my heart thats the way to break my heart that s the way to break my first love never dies guess i ll see you in another life 12 years down the line theres just one thing i remember her lips upon mine so soft feelings i don t know the name of under the clothes we take off used to be two hearts in love oh why oh why am i alone did i did i do something wrong am i the reason or have you found someone else so tell me girl how can i live without love how can i be what you want cause when the morning comes around youre still gone and ill say how can i see through the dark all i can do is wonder where you are are you happy in someone else s arms well thats the way to break my heart thats the way to break my heart thats the way to break my heart thats the way to break my heart thats the way to break my thats the thats the thats the did i did i thats the thats the thats the way to break my
16,lay it all on me,all alone as you look through the door nothing left to see if it hurts and you cant take no more lay it all on me no you dont have to keep it under lock and key cause i will never let you down and if you cant escape all your uncertainties baby i can show you how let my love in let my love in lay your heart on me if youre hurting if youre hurting you can lay it all on me yeah you can lay it all on me you can lay it all on me if youre hurting if youre hurting lay it all on me if youre scared when youre out on your own just remember me cause i won t let you go it alone lay it all on me no you dont have to keep it under lock and key cause i will never let you down and if you cant escape all your uncertainties baby i can show you how let my love in let my love in lay your heart on me if youre hurting if youre hurting you can lay it all on me yeah you can lay it all on me lay it all on me if youre hurting if youre hurting lay it all on me so if youre hurting babe let your heart be free you got a friend in me ill be your shoulder at anytime you need baby i believe so if youre hurting just let your heart be free lay it all on me ill be your shoulder anytime you need lay it all on me lay it all on me let my love in let my love in lay your heart on me if youre hurting if youre hurting lay it all on me you can lay it all lay it all on me lay it all on me lay it all lay it all on me lay it all on me let my love in let my love in lay your heart on me if youre hurting if youre hurting lay it all on me you can ill be your shoulder when anytime you need lay it all on me let my love in let my love in lay your heart on me if youre hurting if youre hurting lay it all on me you can lay it all lay it all on me lay it all on me let me in babe let me in baby lay it all on me
17,i dont want your money,ayy i waited for you all day i been away on the road for a little while today im headin home to make my baby smile she hates it when i am over a thousand miles away and im not there to pick up when she dials yeah shes always lookin back and sayin there was a time when you would be around every single night now im not sayin that i want another guy but i need you here for the good times and the bad times yeah the pullin out my hair gettin mad times not just the when im in your bed on my back times baby every time i call its a bad time just want you here on your own there aint no diamonds silver or gold that can replace a mans love in the home and she keeps tellin me over and over i dont want your money baby oh you know i just want your time i dont want your money baby oh you know i just want your time i used to be around more but i was strapped for cash and thats not attractive workin my ass off tryna make a success outta myself i guess i could have been more present but i was in a mess i remember bein on tour stayin up on the phone 30 minute conversation boy when you comin home i cant be buildin a family life here on my own baby im doin it for us so why you takin that tone like im the bad guy i thought it would have made me better in your dads eyes im busy stackin up the paper for the bad times cause baby you never know im poppin right now but there will come a day when i wont there aint no diamonds silver or gold that can replace a mans love in the home and she keeps tellin me over and over i dont want your money baby oh you know i just want your time i dont want your money baby oh you know i just want your time you know youre my baby im sorry i been away yeah no lie you know youre my baby im sorry i been away yeah no lie i dont want your money baby oh you know i just want your time i dont want your money baby oh you know i just want your time and i love and i love and i love you yeah i love and i love and i love you and i love and i love and i love you but i want your time yeah want your time time
18,galway girl,she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then i took her by the hand said baby i just want to dance i met her on grafton street right outside of the bar she shared a cigarette with me while her brother played the guitar she asked me what does it mean the gaelic ink on your arm said it was one of my friends songs do you want to drink on she took jamie as a chaser jack for the fun she got arthur on the table with johnny riding a shotgun chatted some more one more drink at the bar then put van on the jukebox got up to dance you know she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then i took her by the hand said baby i just want to dance with my pretty little galway girl youre my pretty little galway girl you know she beat me at darts and then she beat me at pool and then she kissed me like there was nobody else in the room as last orders were called was when she stood on the stool after dancing the céili singing to trad tunes i never heard carrickfergus ever sung so sweet a cappella in the bar using her feet for a beat oh i could have that voice playing on repeat for a week and in this packed out room swear she was singing to me you know she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then i took her by the hand said baby i just want to dance my pretty little galway girl my my my my my my my galway girl my my my my my my my galway girl my my my my my my my galway girl and now weve outstayed our welcome and its closing time i was holding her hand her hand was holding mine our coats both smell of smoke whisky and wine as we fill up our lungs with the cold air of the night i walked her home then she took me inside to finish some doritos and another bottle of wine i swear im gonna put you in a song that i write about a galway girl and a perfect night she played the fiddle in an irish band but she fell in love with an english man kissed her on the neck and then i took her by the hand said baby i just want to dance my pretty little galway girl my my my my my my my galway girl my my my my my my my galway girl my my my my my my my galway girl
19,nightmares,they tell me you can only dream when you fell asleep but now im working to achieve but sleep is the only thing i never see and i vowed that my breathing will never cease to the retrieve then i cant let them be i wont let em leave and i had the same feeling since 17 but i wasnt ready then like when a lemons green now im in the magazines almost every week cause im getting heat like in tenerife right now its better than its ever been never fade like a plant thats evergreen its what i hoped in my heart but my self doubts are getting me faith in my crafts getting dark by the day and im getting weak cause im new im not where the stars be they chase dreams together like a slumber party and now im on my own even though im smooth sailing im scared to sing cause my nightmaresll fade in when the darkness creeps in i feel my nightmares watching me and when my dreams are sleeping i feel my nightmares watching me i feel my nightmares watching me i feel my nightmares watching me watching me you better wake up cause i a m making moves and even when im dozing im breaking rules im only hitting the sack when im training too busy tryna keep up with the latest snooze made my bed and thats where im heading i fly straight but the best man i embed em married to the game was a quiet wedding and i had to fight to get her i am tekken control of my inception cause theyre try to hit my misses with my erection see they better marry donna cause when i strike back not even argentinas gonna cry for them see im awake at night with the ammunish cause the haters know where the family lives anyone i catch playing knock down ginger is gonna lose a lot more than annie did they say sleep is the cousin of death but i aint hearing that shh cousin im gang signs im in la reading im a ceo mother suckers im next when the darkness creeps in i feel my nightmares watching me and when my dreams are sleeping i feel my nightmares watching me i feel my nightmares watching me i feel my nightmares watching me watching me theyre watching me they watch me sleep let me go i fell asleep on myself woke up in reality and daydream about losing my sanity ive been rhyming forever got a blind flow so i can see an off note with my eyes closed but to achieve your dreams you cant doze off cause you dream a sleep i aint nodding off but im nodding to the beat i be shocking in my sheets when i should have been asleep see all the dreams im fond of you placed me in the team insomnia now im mr hard worker in my nightmares im mr cant turn up and i missed my chance worst luck trying to hit women like mr ike turner yeah but i walked from that ish now they gotta put me to rest mattress when the darkness creeps in i feel my nightmares watching me and when my dreams are sleeping i feel my nightmares watching me i feel my nightmares watching me i feel my nightmares watching me watching me
