,song_title,lyrics
20,1000 nights,oh i been on for a thousand nights new york to london different city every day yeah playin on playin on puttin up 50 thousand lights oh ive been gone so long gettin up and gettin faded so im on keepin on stayin up for a thousand nights this the type of shit we used to dream of bad bitch look like mona lisa flippin off a yacht in ibiza clear port hasta la vista do it all again when we touchdown everything bust down teacher said i would lose i be like what now i started makin moves they showin me love now lit like a light bulb cause bitch im the plug now and now you know we poppin we bubble like soda poppin i see it i like it i wake up pull up and go and cop it the millions get wired them benny hunnids still go in pocket i party with ed sheeran my homies still hold a rocket cause im so hood it dont make no sense still remember the times i couldnt pay my rent now i walk in a stadiums tell em play my shit and they gon sing like this oh i been on for a thousand nights new york to london different city every day yeah playin on playin on puttin up 50 thousand lights oh ive been gone so long gettin up and gettin faded so im on keepin on stayin up for a thousand nights last night i played a show at a stadium in atlanta husband and wives daddies and daughters with the cameras i never thought it would get this big but why does it matter everything is already part of a plan i remember damn me and my man inside of this splitter van 200 a night end of 2010 stayin up in every citys holiday inn if it wasnt there then i was at the couch of a friends wetherspoons was an easy option to get a cheaper lunch and 2 pint the waitress maybe leave her number on to the next town but now its to the next continent and i dont think its gonna be stoppin anytime soon birds eye view pay my dues for a two mile queue dont need to read reviews if you cant do the things i do oh let me invite you to my world oh i been on for a thousand nights new york to london different city every day yeah playin on playin on puttin up 50 thousand lights oh ive been gone so long gettin up and gettin faded so im on keepin on stayin up for a thousand nights mmm im so faded yeah i dont even know how much i made this year im so used to bein on some player shit cheated on my girlfriend with a famous bitch hoodie on pull up just like the reaper yeah i do this on the regular make you seem unfair st laurent gucci sweater the red and green moncler me and meek and ed sheeran just like the beatles yeah from her head to her toe she know she be flee oh yeah everyday i be seein her and ceiline oh yeah she wanna come closer but i dont see us there im not a regular person i be low key oh yeah from new york out to london she was she was with me all the time and ive been on the road so long she couldnt call my line and now she got her ass and titties done for a thousand likes oh i been on for a thousand nights new york to london different city every day yeah playin on playin on puttin up 50 thousand lights oh ive been gone so long gettin up and gettin faded so im on keepin on stayin up for a thousand nights
21,goodbye to you,hey can you hear me i just wanted to let you know hmm i hope you can hear what i write to you how could i say goodbye to you when im a life that came out of the inside of a life that was inside of you i gotta respect the way you provided food for the whole fam you came over a moon rush supporting a mar jays old man cold double 8 8 kids bare wheels plus racists full of hatred in your own plant 3 jobs in a day rest in life in you working but you were never stress free just locked in a cage slaving they said they were gold in the pavements but you came and saw the road to amazement broke your heart but still you were prone to last and your sorrow was over fast i hope your listening right i still think of you every sunday no one can top your chicken and rice even through the darkness times you held us all up because your vision was bright i knew your strength was your wisdom inside you never let anyone see your heartache you just got on with it anyone tells me that they knew you said you were beautiful and your words you would stand strong with it cause they were like warmth on a winter night but i was just too young to go on with it and there somethings i could try to do but its an impossible task for me to even try to say goodbye to you i couldnt do that i owe my life to you and of the pieces of my soul you know i never want to be alo oh oh one i can see the stars as a cold wind greets the air and will you think of me up there can i say goodbye to you and paint the stains of the teardrops down my face or feel the chill of your warm embrace can i say goodbye to you ohh i think you phoney i was younger with the knowledge of things that i know now i would be by your side when you needed me instead of asking you nan can i go out standing in a road with the gangs that i know now everyones missing you loads jessicas grown up warreen lauren and alex are fine and im living with hope its been a while since ive seen c and the mouths i miss seeing a family being a family and us agreeing with smiles how it used to be as a child but as time goes by the bridge seems longer family problems have never been funny in my heart the only one that dissed me was sonia she took all our inheritance money left the rest of us to pick up the pieces i never forgive the way she betrayed us there aint a big enough reason before i sell out my fam ill be giving up breathing but i guess that everyones different or should i say no ones perfect she had happiness in front of her but chose to ride the wave that no ones surfing since you gone the foundations crumbled so building it back up is my next step i got all the bricks and the cement but its hard when its done i dont know what to expect so give me the strength that i need to perform this task make it right i must do and i ask cause i trust you it goes way beyond a song when i say i love you and of the pieces of my soul you know i never want to be alo oh oh one i can see the stars as a cold wind greets the air and will you think of me up there can i say goodbye to you and paint the stains of the teardrops down my face or feel the chill of your warm embrace can i say goodbye to you ohh its just for now so i should hush ill never get enough ill see you when i see you but i miss you oh how i miss you its just for now so i should hush ill never get enough ill see you when i see you but i miss you oh how i miss you there aint enough words to describe how sorry i am for the pain that i caused sorry for when i stuck up my own blood we were young and he said it was raping his broad and for the day police came to the door im sorry for being such a bad youth stealing from your purse and making you mourn i never been able to say this before cause i was so inconsiderate you loved me unconditionally and i took advantage of it like a idiot not seeing the pure soul that i was living with i really hope that you can forgive me you going away was a punishment but i wont let go im holding you with me but i still fight the emotions within me i can see the stars as the cold wind greets the air and will you think of me up there and can i say goodbye to you and paint the stains of the teardrops down your face feel the chill of your warm embrace and can i say goodbye to you i can see the stars as a cold wind greets the air and will you think of me up there can i say goodbye to you and paint the stains of the teardrops down my face or feel the chill of your warm embrace can i say goodbye to you
22,drown me out,im in so deep omar epps could relate to my situation on a real pain aint the emotion i want to feel but im thriving off it so its only right i like this topic i be on a hill keeping my head above water i cant afford to ever get caught in a corner so i move with the force of a sorcerer its dark when im about just me myself and my shadow and im parro running out of ammo and it seems like everyone around mes on the same path so its narrow the less then the better more proof for the last one left so they want to leave me as wet as an umbrella i play fool to catch wise how they ever gonna guess im clever how can i be at my best with this pressure ive got a lot to lose so when i watch the news my minds infected with terror no wonder im under stress i got my door kicked down by a bunch of feds and when they left it looked like id had a rave and invited more than a hundred guests i shoulda bust the back door and jumped the fence its easier when you look back shoulda woulda coulda but i bet you cant bring should woulda could back back to 15 i said to myself that im more than a hoodrat ooo you can drag me in the deep ends ooo but you will never drown me out ooo you can drag me in the deep ends ooo but you will never drown me out out out you wont drown me out out out you wont drown me out you can never drown me out the water supplys too low and im round about 6 1 10 stone ive never seen someone drown without a sufficient amount of liquid in their lungs and im an mc my mouth can vouch do i sound like im choking seriously do i sound like im joking im floating even though they want to send me to the bottom of the ocean but i am a ship that sunk many years blud im maintaining plain sailing no commotion like a dolphin when its in motion nothing cant break me so why would i show them im broken no real stress no my skin aint close to corrosion fuck them all this aint tug of war still theyll get roped in the open i dont want to reveal my violent side but i swear that i will soon if the lord above dont provide a sign then imma kill you arm for arm eye for eye i just want to live my life but they dont want to see this guy survive
23,little lady,listen little lady this is just the worst way to spend your birthday its 30 degrees thursday you work late you was with a perv making dirty fake love in his mercedes lady the word rape sums up events that take place every night you wanna get up but you know your legs will ache if you try and you remember that your punter went crazy last night you drag yourself to the mirror to check your face then you cry forget the visit to the clinic you were booked in for youll make a trip to the whittington where theyll look at your jaw theyll be inquisitive and ask about your business for sure theyll know youre fibbing if you tell them you got hit by a door but young woman the pimp sees you as nothing but a dumb hooker medical attention could be fatal cause the cunt wouldnt ever let a doctor near someone thats getting dough for him cause next you got poxy authorities sticking their noses in shes just under the upper hand and goes mad for a couple grams and she dont wanna go outside tonight cause in a pipe shell fly to the motherland and sell love to another man its too cold outside for angels to fly for angels to fly little lady your mind youve made up your injuries you cant hide with make up you need some medical advice you make up a little lie to say just in case the doc opens his eyes and dont decide to play dumb with any luck youll see the same dude who stitched your top lip last year when your pimp just lost it he wouldnt recognise you if you stared him in the face anyway cause all the heroin is making you age but youre a heroine for taking the strain of being a prostitute and punching bag the funds you have left go where your from using moneygram mother had to get you out the motherland to study that was all she struggled to have a single daughter with the upper hand little does she know youre never coming back she put you in her brothers hands only for him to formulate another plan hes the fucking cause of your appalling state this summer fancy that you came to london to get pimped by your uncle damn shes just under the upper hand and goes mad for a couple grams and she dont wanna go outside tonight cause in a pipe shell fly to the motherland and sell love to another man its too cold outside for angels to fly now an angel will die covered in white with losed eyes and hoping for a better life this time now well fade out tonight straight down the line little lady youre trembling with fear your skinny frame kinda resembles a deer youre sitting facing the detective oh dear the meddling nurse couldnt just leave it shes only gone and made it much worse calling police in shell never know the gravity of the damage shes caused youre causing scandal going mad in the ward now the cop is trying to calm you telling you he wont let no one harm you the same question he keeps trying to ask you who you working for hes talking to you like youre worth more than a dirty whore youre having a conversation you could be murdered for youre learning more about exactly why you need to help bring him or her to court hes kicking knowledge you aint ever heard before just before he leaves he reassures you that he knows that its hard he underlines a mobile number you can phone on his card begs you to use it hes useless if youre gonna be stupid cause an answer hasnt come from your bruised lips youre on your own youve gotta go and give your pimp what you owe you reach your door and then it dawns that youve been followed home before you turn around you feel a cold blade on your throat and then a voice says where you been bitch i wanna know no prizes for guessing who it is resistance would be foolishness you open the front door he boots you in theres something new in him hes silent now that fills you with terror get your alibi straight you could be killed for an error he towers over you the six inch knife catches the sunlight at this point your life flashes before your eyes your handbags dropped and all the contents are all over the floor despite the mess theres only one thing that has caught his eye and in the moment of rage he brutally murders his niece and dumps her body in the boot of his mercs in the street little lady left this earth in the worst way all because she got a card on her thirteenth birthday and were all under the upper hand and going mad for a couple grams and we dont wanna go outside tonight cause in a pipe shell fly to the motherland and sell love to another man its too cold outside for angels to fly for angels to fly and fly fly for angels to fly to fly to fly and angels to die
24,radio,hi my name is jme there was a time when radio played me cause my music came from my heart it was real to me but now its a par im here struggling keeping it real while the rest of them are hustling seeking a deal sometimes i sit back and think jme just do one tune make a couple gs and chill the reason i started making music is the exact same reason that ill never do it i swear i didnt go through all of that for this ill give that a miss thats just how it is im fair straight who can tell me different look at me determined man on a mission my music is me and i am my music so like it or lump it imma do this i never had a playlist in my heart now i need an a list just to chart but ive been famous from the start how am i gonna make my mark are you gonna play me though this song was never meant for the radio how much will you pay me though if this songs not a hit on the radio oh oh oh oh oh oh thank god for night clubs and the raves cause i dont think they like us on the airwaves unless we water it down but cordial music is boring me now i swear i guess it matters what your goal is or in this music scene what your role is im still trying here cause im a pioneer i use my mouth less than i use my eyes and ears see im just telling you the truth cant shoot the messenger bulletproof booth you wont hear me on the radio but go to the rave and the crowd theyre raising roof why is that whats going on there to tell you the truth i dont really care i am my music my music is me like it or not this is how its gonna be i never had a playlist in my heart now i need an a list just to chart but ive been famous from the start how am i gonna make my mark are you gonna play me though this song was never meant for the radio how much will you pay me though if this songs not a hit on the radio oh oh oh oh oh oh i feel it on the airwave spinning on the dial bleeding through the speakers written by the pile so wont you hear me out never feel it from the bass line feel it in the club maybe i could take time singing for the dub so wont you hear me out i never had a playlist in my heart now i need an a list just to chart but ive been famous from the start how am i gonna make my mark are you gonna play me though this song was never meant for the radio how much will you pay me though if this songs not a hit on the radio oh oh oh oh oh oh are you gonna play me though this song was never meant for the radio how much will you pay me though if this songs not a hit on the radio oh oh oh oh oh oh
25,you,the thoughts i have could be clear ones they can seem vivid the goals i reach are not near ones the further the limit i block her out so when im looking though my mind she aint in it can i be free for a minute can i be me for a minute the thoughts i have can be dark ones even be smart ones i know im gonna have a couple straight from the heart ones tell you what i think i will until i depart mum its you that i live for im the first and the last one to love you lots whats better than thinking about the ones you love nothing much when youre thinking about the ones you love i feel the same when im on the floor see the sun above unconditional like bills payed when ive run em up no one here to help you pay now youre gonna moan no one here to save the day now youre all alone wish i was born with a golden spoon in my mouth fact is i wasnt so im coming from a quarter zone and when the sun falls down ill be up again and never close my eyes and if the dawn might break ill see nothing when nothing when my thoughts are only you and my mind is over you my thoughts are over you and these words are all for you now for you i wanna see you happy i wanna see you smile cause youve been trespassing and you wont leave my mind now ive been thinking about this you told me say yes nan im 31 now im still saying yes nan you had to replace my mum dad two parents in one i know youre proud staring at your grandson i found a job i like got the flat the cars to buy got the quad i like and cause of you and kylie its in every single song i write had a golden life wanted people to honour mine tell em while im here cause one day im gonna die and when im gone i want my music to play and when my people listen to this track its gonna make em wanna cry i aint gonna lie i think about the scene i made i say the games better its a must now ive gotta fly my talents gonna shine real shortly fam i know it i work round the clock i dont stop at night
26,lately,i seem to find myself talking to the powers that be awaking the shade and shadowed under towering trees admiring the scene inhaling fumes of flowers that breathe jet lagged eyes are begging for an hour to sleep although my bloodshot whites and irises they never find any clock stops at times where the sun shine can blind many although my eyes are heavy they wont be closing soon cause i heard that time waits for nobody i suppose its true we make corrosive tunes with acid tabs and vocal booths to see the flashing lights at photo shoots we make our motive moves i say whatever i feel to vent a rhyme so i can still invent the lines and stay close to the friends of mine cause real recognise real is what my father says and ill be sticking to this phrase until i pass away overworking no sleep is just another way to die slow but ill just keep going strong and never let my eyes close 5 oclock with lights off interview with a vampire sleep is for the living and not a utensil that i require i swear i said that ill sleep when im dead whos on the beat upon the feature with ed its d e v to the zed over tired pale faced like michael myers bags underneath my eyes can show the baggage ive acquired and over the time within this maze i think youll find youll never find that peace of mind you seek to find until youre dying cause i got too much to stay awake for to sleep or even take four seconds out the game its time to wage war scissors grab a sword and sharpen up your hunting knives two psychopathic lyricists are driving on the hunt tonight im hailing from the essex and the east london border line villans never sleep they mastermind in all sorts of crimes be wide awake just like youre snorting lines or get left mortified like you just seen the ghost of jesus walking by i never sleep when trouble steals thoughts from a restless mind for free it could be the times im living in i never sleep when trouble steals thoughts from a restless mind for free it could be the times im living in lately i brush my teeth every night but still i wake up with a bad mouth and the background is my past and my presence will bring it back out deliver the raps how i flow i live with the rats now and those that hate me call me ron but they wont slither in too easy believe me im snake minded be within this great time be on minimum wage life is a prison escape that im in its all to do with timing not the label that you sign with then my mates are doing fine but then they never put the time in i try to hide my cold side like when i flip my pillows some of the songs i write are real because the charts are filled with si li cone im still broke without the money for a mac pro living out of three bags no talk about my cash flow opposite of sober cause i never did my homework which has got me on the sofa no degree but growing older i played a fool to catch the wise i will never tell a lie i wake dead take deep breaths try to never die two guys with the same view keep it tight like scrooge making metaphors flow and move like typhoons and tunes and if we got our eyes on you well catch you while you snooze times elapsing while youre catching zeds the masses like to move we scan the situation analyse information and then decide what probably is most practical to do driven young gentlemen ive hardly changed my bed sheets at all over the last 12 months cause i havent slept in em true im coming home the lights are on your rights are wrong so im correcting em we got the fans all like oh wow its devs and ed what less did you bloody expect from em in the end sleep deprivation might just be our detriment fighting through writers block from 9 oclock to 5 oclock and no way will i ever waste a second of the time i got i keep my pupils engaged like a classroom in holy matrimony but im only trying to stay awake i never sleep when trouble steals thoughts from a restless mind for free it could be the times im living in i never sleep when trouble steals thoughts from a restless mind for free it could be the times im living in lately i never sleep when trouble steals thoughts from a restless mind for free it could be the times im living in i never sleep when trouble steals thoughts from a restless mind for free it could be the times im living in lately
27,wake me up remix,on the last few days of la i got taken into this guys house and he was sponsored by an alcohol company quite a few actually and uh got pretty wasted umm all times and i was sitting underneath a tree with my phone just putting in lyrics bah this is how i feel bah and uh i came up with this song and it is called wake me up because i was really pissed it is quite silly bear that in mind i should ink my skin with your name and take my passport out again and just replace it see i could do without a tan on my left hand where my fourth finger meets my knuckle and i should run you a hot bath fill it up with bubbles cause maybe youre loveable maybe youre my snowflake and your eyes turn from green to gray and in the winter ill hold you in a cold place and you should never cut your hair cause i love the way you flick it off your shoulder and you will never know just how beautiful you are to me but maybe im just in love when you wake me up and would you ever feel guilty if you did the same to me could you make me a cup of tea to open my eyes in the right way and i know you love shrek because weve watched it 12 times and maybe were hoping for a fairytale too and if your dvd breaks today you shouldve got a vcr because ive never owned a blue ray true say i know ive always been shit at computer games because your brother always beats me and if i lost i go across and chuck all the controllers at the tv and then you laugh at me and be asking me if im gonna be home next week and then you lie with me till i fall asleep and flutter eyelash on my cheek between the sheets and you will never know just how beautiful you are to me but maybe im just in love when you wake me up and i think you hate the smell of smoke you always try to get me to stop but you drink as much as me and i get drunk a lot so i take you to the beach and walk along the sand and ill make you a heart pendant with a pebble held in my hand and ill carve it like this necklace so the heart falls where your chest is now a piece of me is a piece of the beach and it falls just where it needs to be and rests peacefully so you just need to breathe to feel my heart against yours now against yours now maybe im just in love when you wake me up maybe im just in love when you wake me up girl me wann fi hold yuh put me arms right around ya girl you give me the tightest love me eva get inna my life girl me just wann fi squeeze yah put me arms right around ya girl you give me the tightest love me eva get inna my life oh in my life oh oh in my life oh oh in my life ooh oh maybe im just in love when you wake me up maybe im just in love when you wake me up maybe i fell in love when you woke me up
28,family,hmm let me go to see my family please father let me go as my mother sleeps i dont know about james bond but round here nobody lives twice when youre gone youre gone without no bye cause only a judge can give you life this is my advice trust me i nearly lost my life 3 weeks after i got this ride pissed like i had way too much wine wished i didnt get one anyway i was going to the macbeth booked for a set even though i didnt have a set one skream hit the decks i was like check one put on a show but it werent my best one left it dropped off blacks at his destination then i was off to the next one 20 minutes later i was on the m1 tired but i kept on going fell asleep without even knowing no motion in my face no movement in my legs but the car still kept going woke up lorry flash panic break skid crash skidded more bang smash out cold ribs cracked ouch i was in so much pain crawled out of a mégane that now looked like a mini when i was still on the first lane baffled didnt even know my name fainted too much shock in my brain surrounded by paramedics and feds trying to get up but fainted again see i just want you to take a sec and hear me out dont think im happy cos i smile when you see me out ive had serious madnesses where ive nearly disappeared and im begging lord to save me and let me go to see my family and keep it inside dry eyes while my brother weeps save my soul please father let me go keep me safe as my mother sleeps eyes closed they just wouldnt open i could hear voices and my phone ringing fighting for life cant tell if im winning one of the worst situations ive been in i could hear all of the angels singing but when they stopped humming my brain turned on started running still in pain but it started numbing the stone cold comeback i made was stunning i still tried to do a few shows cos i didnt wanna tell them that i werent coming but i was left with a permanent problem nobody knows about the pain that im in ever so cunning 6 weeks later jogging and running i used the first aid kit like a drum set picked up the tools and i gave it a drumming trust me when it comes to mistakes you cant afford to let one in never done tunes for a while the pipeline was blocked so i learned and done a bit of plumbing they say tomorrow never dies but they forgot to tell you you can you can have a sicker clan than wu tang but when your times up thats it its you fam you can try beg for another sometimes ill be on my way to a show thinking i just wanna see my brother then do a u turn im gone one up to see my family and keep it inside dry eyes while my brother weeps save my soul
29,the city remix,this city never sleeps i hear the people walk by when it s late and sirens bleed through my windowsill i can t close my eyes don t control what i m into and this tower is alive the lights that blind keep me awake my hood up and lace untied sleep fills my mind don t control what i m into london calls me a stranger a traveller this is now my home my home i m burning on the back street stuck here sitting in the backseat and i m blazing on the street what i do isn t up to you and if the city never sleeps then that makes two the pavement is my friend it will take me where i need to go so i find it trips me up and puts me down this is not what i m used to and the shop across the road fulills my needs and gives me company when i need it voices speak through my walls i don t think i m gonna make it past tomorrow and london calls me a stranger a traveller this is now my home my home burning on the back street stuck here sitting in the backseat and i m blazing on the street what i do isn t up to you and if the city never sleeps then that makes two and my lungs hurt and my ears bled with the sound of the city life echoed in my head do i need this to keep me alive the traffic stops and starts but i need to move along i m from a city where the rain won t cease pollution in the air matches that on the street the black smoke gets your head into a muddle like walking into elephant syringes in the puddle like i was a country boy when i moved out grew up too fast for my family to find out now i try to stop my music running into nosedives can t resort to arrogance with white lies this city won t erase me but i can t help to see how this dark city changed me it s all the same see music is my life but now i try to fight whatever i need to hide from north south east west london s my home now knees weak but we never slow down now i start to do my music properly and stay from all the negative shit that will follow me and london calls me a stranger this is not my home home burning on the back street stuck here sitting in the backseat and i m blazing on the street what i do isn t up to you and if the city never sleeps then that makes two burning on the back street stuck here sitting in the backseat and i m blazing on the street what i do isn t up to you and if the city never sleeps then that makes two
30,you need me i dont need you remix,now im in town break it down thinking of making a new sound playing a different show every night in front of a new crowd thats new now ciao seems that life is great now see me lose focus as i sing to you loud and i cant no i won t hush ill say the words that make you blush im gonna sing this now see im true my songs are where my heart is im like glue i stick to other artists im not you now that would be disastrous let me sing and do my thing and move to greener pastures see im real i do it all its all me im not fake dont ever call me lazy i wont stay put give me the chance to be free suffolk sadly seems to sort of suffocate me cause you need me i dont need you you need me man i dont need you you need me man i dont need you you need me man i dont need you you need me man i dont need you you need me man i dont need you you need me man i dont need you you need me i sing and write my own tune and i write my own verse hell dont need another word smith to make my tune sell call yourself a singer writer youre just bluffing your names on the credits and you didnt write nothing i sing fast i know that all my shits cool i will blast and i didnt go to brit school i came fast with the way i act right i cant last if im smoking on a crack pipe and i wont be a product of my genre my mind will always be stronger than my songs are never believe the bullshit that fake guys feed to ya always read the stories that you hear on wikipedia and musically im demonstrating when i perform live feels like i am meditating times at the enterprise when some fella filmed me a young singer writer like a gabriella cilmi cause you need me man i dont need you you need me man i dont need you you need me man i dont need you you need me man i dont need you you need me man i dont need you you need me man i dont need you you need me man i dont need you you need me all i want in this cold world is to make music and use it not to abuse it and get affected infected with the whos who of music who did it who is it whos in it or what the hell does it matter chitter chatter dont matter what a yidder yidder yadder it dont matter to me all i want is a bit of dignity in me to battle this industry freely to be me in this seedy needy world can you hear me hey so i keep singing that when i first started this rapping shit i felt pressure from haters became invaded with sadists and just developed a hater radar and made for the stars kept my grind in the dark and then appeared with a remedy kicking rhymes with a melody hennesey shots and all these fools on the block who said you gotta be a gangster now to raise to the top im just a normal casual usual everyday type of guy my head in the sky ready to die ed sheeran alone star coming out here freestyling with the guitar cause ive forgotten the lyrics of this bit right here so i freestyle off the top of the bit with the you can find me in the club bottle full of bub mummy ive got the x if youre into taking drugs into having sex i aint into making love come give me a hug if youre into getting rough you can find me in the club bottle full of bubbly mummy ive got the x if youre into taking drugs into having sex i aint into making love come give me a hug if youre into getting rough my eyes are red ive been burning ive been burning my eyes are red ive been burning ive been burning my eyes are red ive been burning ive been burning on a spliff off your high grade my eyes are red ive been burning ive been burning burning burning now where i come from burning weed it is a habit a big fat bag of high grade weed you know i got to have it cos if i dont have it in my pocket im going to panic cos like i said where i come from weed smoking is a habit yup well do da bun in the place up in the hood one of them things i have inherited like a ghetto man should one of them things is smoking weed it yes it makes me feel good burning high grade sensimilla yes it makes me feel but me is a man ah talk about sensimilla is a drug and if i start to smoke it imma nna turn into a thug where i come from that they talking could that only get you mugged where i come from burning weed it is a blessing from above where i come from yes we bun it when we listen rub a dub where i come from yes we bun after we just a make a love where i come from yes we bun it when the sun starts shine i blaze high grade weed all the time now my eyes are red now my eyes are red cause you need me i dont need you you need me man my eyes are red you need me man i dont need you you need me man my eyes are red and you need me i dont need you you need me man my eyes are red you need me man i dont need you you need me man i dont need you okay so this is the breakdown bit where we get a little bit funky ugh and i forget about the whole week you forget about the whole week the whole weekend just forget about everything cause its sunday and were all gonna get drunk after this and have a very very good time and im not stressed anymore were just letting it unwind i wanna split the room in the middle here whos up for that not not not literally you dont have to literally divide its all good all good peace and love peace and love and harmony what was i gonna say this side up there are you with me this side up there are you with me everyone scream as loud as you can okay so we found out that everyones voices work this side im not gonna insult you but you are west ham okay youre west ham yeah youre west ham football club get in the geezer mode yeah this side youre millwall yeah you two you two hate each other you two are gonna beat each other at whatever you do no matter what so if i give you something to sing you have to sing louder than them if i give you something to sing you have to sing louder than them are you all up for that millwall are you ready west ham are you ready okay west ham you sing this you need me man i dont need you you need me man i dont need you you need me man i dont need you millwall you sing this my eyes are red you need me man i dont need you you need me man my eyes are red you need me man i dont need you you need me man you need me man i dont need you millwall are winning i think i seem to find myself talking to the powers that be awaking the shade and shadowed under towering trees admiring the scene inhaling fumes of flowers that breathe jet lagged eyes are begging for an hour to sleep although my bloodshot whites and irises they never find any clock stops at times where the sun shine can blind many although my eyes are heavy they wont be closing soon cause i heard that time waits for nobody i suppose its true we make corrosive tunes with acid tabs and vocal booths to see the flashing lights at photo shoots we make our motive moves i say whatever i feel to vent a rhyme so i can still invent the lines and stay close to the friends of mine cause real recognise real is what my father says and ill be sticking to this phrase until i pass away overworking no sleep is just another way to die slow but ill just keep going strong and never let my eyes close you need me man i dont need you you need me man i dont need you you need me man i dont need you i got my friend very good friend random impulse hes gonna come up and hes gonna spit a few bars on the beat everyone give it up for random impulse yo in this game i am my own damn man no restriction post or boundaries spouting heat hungry and my circle always round to eat crossing circles counting thousands at a thousand feet counting sheep and hes sound asleep summoned from the deep now i float to sink my boat youll need a thousand fleets walk on any beat and stomp it like a thousand feet talk is cheap so i could treat you to my words for free now that im out man i aint playing like i hurt my knee its common courtesy i left you for a minute now im back and packing punches like im popeye popping spinach eating every course lunch i aint forgotten dinners play guitars as well as bars so you aint rocking with beginners sorry times ticking i cant mess with up and comers national lottery business only winners have my numbers man im nothing like you fronters show you how it is i cant really do nothing for you less you got something to give ed cause you need me i dont need you you need me man my eyes are red you need me man i dont need you you need me man my eyes are red and you need me i dont need you you need me man my eyes are red you need me man i dont need you you need me ill keep my last name forever keep the genre pretty basic gonna be breaking into other peoples tunes when i chase it and replace it with the elephant in the room with a facelift into another rappers shoes using new laces selling cds from my rucksack aiming for the papers selling cds from my rucksack aiming for the majors nationwide tour with just jack still had to get the bus back clean cut kid without a razor for the mustache i hit back when the pen hurts me im still a choir boy in a fenchurch tee im still the same as a year ago but more people hear me though according to the myspace and youtube videos im always doing shows if im not im in the studio truly broke never growing up call me ruffio melody music maker reading all the papers they say im up and coming like im fucking in an elevator later thank you thank you so much see you soon
31,fall remix,you and i two of a mind this loves one of a kind you and i were drifting over the edge and i will fall for you and i will fall for you and if i fall for you would you fall too learning to speak with kisses on cheek were drifting and i will fall for you and i will fall for you and if i fall for you would you fall too and i will fall for you and i will fall for you and if i fall for you would you fall too would you fall too would you fall too would you fall too would you fall too
32,homeless remix,could i wake up next to you when were hitting double figures look into your eyes like im looking into double mirrors could you make it any clearer everythings such a blur its not my turn its hers to get hurt on a late night coming home from way too many train rides lace not as red as my face im home at the same time highbury estates fine smoking like a dragon but dont chase lines i havent slept for the past week two hours aint enough for me i feel inspired at quarter to three am i havent changed since our last meet im still getting all my meals for free think im being shunned by my feet again its not a homeless life for me its just im home less than id like to be and now im sitting on a night bus flicking through my ipod feeling kinda tired so i try to close my eyes up driver turn the lights off lights on on stage mics on song plays nice one gotta keep my hype strong truth be never went to uni people see right through me but im not a fool see im never gonna do one gonna live past 22 done everything i need to except get a 2 1 i havent slept for the past week two hours aint enough for me i feel inspired at quarter to three am i havent changed since our last meet im still getting all my food for free think im being shunned by my feet again its not a homeless life for me its just im home less than id like to be when i feel cold you keep me warm and im not looking for some loose change just wanna find a true mate who wants to be my duvet so this is the part where everyone gets a bit involved and uh i introduce myself my name is ed sheeran and its a pleasure to be here whos up for singing a bit yeah the lyrics are its not a homeless life for me its just im home less than id like to be thats a little bit of a sing song right now its not a homeless life for me its just im home less than id like to be thank you
33,the a team remix,hello everyone yay were so near the time for ed its so exciting woohoo um just wanted to say a couple more things just remember that we are filming this for a dvd that you guys are going to be able to buy and tonight is being recorded for a live ep that you guys will also be able to buy so i think wed all agree that were all a part of something really special because were going to be able to take tonight home in a few weeks so yeah big honor for us all to be here and i just want to personally say a big thank you to ed for asking me to um host tonight because its just amazing and i think hes fantastic and i feel honored to be here so thats it its time to welcome the fantastic ed sheeran to the stage make some noise white lips pale face breathing in the snowflakes burnt lungs sour taste lights gone days end struggling to pay rent long nights strange men and they say shes in the class a team stuck in her daydream been this way since 18 but lately her face seems slowly sinking wasting crumbling like pastries and they scream the worst things in life come free to us cause shes just under the upper hand and go mad for a couple of grams and she dont want to go outside tonight and in a pipe she flies to the motherland or sells love to another man its too cold outside for angels to fly angels to fly ripped gloves raincoat tried to swim and stay afloat dry house wet clothes loose change bank notes weary eyed dry throat call girl no phone and they say shes in the class a team stuck in her daydream been this way since 18 but lately her face seems slowly sinking wasting crumbling like pastries and they scream the worst things in life come free to us cause shes just under the upper hand and go mad for a couple of grams and she dont want to go outside tonight and in a pipe she flies to the motherland or sells love to another man its too cold outside for angels to fly an angel will die covered in white closed eyes and hoping for a better life this time well fade out tonight straight down the line and they say shes in the class a team stuck in her daydream been this way since 18 but lately her face seems slowly sinking wasting crumbling like pastries and they scream the worst things in life come free to us and were all under the upper hand and go mad for a couple of grams and we dont want to go outside tonight and in a pipe she flies to the motherland or sells love to another man its too cold outside for angels to fly angels to fly fly fly for angels to fly to fly to fly for angels to die
